"","sign_ups","serves","servers","average_wait_time","average_serve_time","day","avgDayServeTime","loadInflux","daysAfterPrevAssnDue","daysUntilNextAssnDue","daysTilExam","hourOfDay","weekNum","morning","noon","afternoon","evening","L10daysAfterPrevAssnDue","L5daysAfterPrevAssnDue","L3daysAfterPrevAssnDue","L1daysAfterPrevAssnDue","L10daysUntilNextAssnDue","L5daysUntilNextAssnDue","L3daysUntilNextAssnDue","L1daysUntilNextAssnDue","L10daysTilExam","L5daysTilExam","L3daysTilExam","L1daysTilExam","isFirstOHWithinLastThreeHour","isFirstOHWithinLastSixHour","isLastOHWithinNextThreeHour","isLastOHWithinNextSixHour","NumStudents","InstructorRating","AvgHrsSpent","ProportionFrosh","ProportionGrads","ProportionPhDs","NumEntriesInInt"
"Apr 4, 2018 11:00 AM",1,0,0,0,0,3,13.5,13.5,-1,7,24,11,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,202,4.4,16.35,0.29,0.14,0.05,1
"Apr 4, 2018 12:00 PM",6,5,1,9.33333333333333,9,3,13.5,81,-1,7,24,12,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,202,4.4,16.35,0.29,0.14,0.05,3
"Apr 5, 2018  1:00 PM",7,6,1,6.66666666666667,6,4,11,77,-1,6,23,13,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,202,4.4,16.35,0.29,0.14,0.05,3
"Apr 5, 2018  4:00 PM",0,1,1,0,15,4,11,0,-1,6,23,16,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,202,4.4,16.35,0.29,0.14,0.05,1
"Apr 6, 2018 10:00 AM",1,1,0,2.5,4.5,5,9,9,-1,5,22,10,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,202,4.4,16.35,0.29,0.14,0.05,2
"Apr 6, 2018  3:00 PM",6,4,2,3,14,5,9,54,-1,5,22,15,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,202,4.4,16.35,0.29,0.14,0.05,1
"Apr 6, 2018  4:00 PM",1,3,1,0,4,5,9,9,-1,5,22,16,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,202,4.4,16.35,0.29,0.14,0.05,1
"Apr 8, 2018 12:00 PM",1,0,1,0,0,0,100,100,-1,3,20,12,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,202,4.4,16.35,0.29,0.14,0.05,1
"Apr 9, 2018  2:00 PM",8,8,3,3.5,11.5,1,7.71428571428571,61.7142857142857,-1,2,19,14,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,202,4.4,16.35,0.29,0.14,0.05,2
"Apr 9, 2018  4:00 PM",5,4,1,2.5,6.5,1,7.71428571428571,38.5714285714285,-1,2,19,16,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,202,4.4,16.35,0.29,0.14,0.05,4
"Apr 9, 2018  8:00 PM",6,7,2,0.5,2.5,1,7.71428571428571,46.2857142857143,-1,2,19,20,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,202,4.4,16.35,0.29,0.14,0.05,2
"Apr 10, 2018  3:00 PM",1,0,1,2,9,2,8,8,-1,1,18,15,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,202,4.4,16.35,0.29,0.14,0.05,1
"Apr 10, 2018  4:00 PM",5,6,3,0.5,7.5,2,8,40,-1,1,18,16,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,202,4.4,16.35,0.29,0.14,0.05,2
"Apr 11, 2018 12:00 PM",22,17,1,4,8.75,3,11.6,255.2,-1,0,17,12,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,202,4.4,16.35,0.29,0.14,0.05,4
"Apr 11, 2018  4:00 PM",3,4,2,1.5,11.5,3,11.6,34.8,-1,0,17,16,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,202,4.4,16.35,0.29,0.14,0.05,2
"Apr 12, 2018  1:00 PM",11,10,1,11,4.66666666666667,4,8.2,90.2,1,6,16,13,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,202,4.4,16.35,0.29,0.14,0.05,3
